city,province,country,total_pop,urban_pop,rural_pop,total_male,total_female,total_trans
Abbottabad,Khyber Pakhtunkhwa,Pakistan,"1,332,912","293,137","1,039,775","677,570","655,281",61
Attock,Punjab,Pakistan,"1,883,556","490,006","1,393,550","936,811","946,683",62
Awaran,Balochistan,Pakistan,"121,680","34,244","87,436","63,023","58,657",0
Badin,Sindh,Pakistan,"1,804,516","390,378","1,414,138","932,488","871,979",49
Bahawalnagar,Punjab,Pakistan,"2,981,919","621,096","2,360,823","1,514,866","1,466,876",177
Bahawalpur,Punjab,Pakistan,"3,668,106","1,171,258","2,496,848","1,879,311","1,788,578",217
Bajaur,Khyber Pakhtunkhwa,Pakistan,"1,093,684",0,"1,093,684","557,160","536,520",4
Bannu,Khyber Pakhtunkhwa,Pakistan,"1,167,892","49,965","1,117,927","593,492","574,391",9
Barkhan,Balochistan,Pakistan,"171,556","12,176","159,380","90,196","81,359",1
Batagram,Khyber Pakhtunkhwa,Pakistan,"476,612",0,"476,612","238,209","238,393",10
Bhakkar,Punjab,Pakistan,"1,650,518","260,114","1,390,404","844,247","806,235",36
Buner,Khyber Pakhtunkhwa,Pakistan,"897,319",0,"897,319","446,997","450,317",5
Chagai,Balochistan,Pakistan,"226,008","16,319","209,689","118,486","107,522",0
Chakwal,Punjab,Pakistan,"1,495,982","283,940","1,212,042","724,205","771,744",33
Charsadda,Khyber Pakhtunkhwa,Pakistan,"1,616,198","270,175","1,346,023","820,520","795,657",21
Chiniot,Punjab,Pakistan,"1,369,740","422,538","947,202","700,601","669,057",82
Chitral,Khyber Pakhtunkhwa,Pakistan,"447,362","49,794","397,568","225,846","221,515",1
Dadu,Sindh,Pakistan,"1,550,266","383,169","1,167,097","797,857","752,385",24
Dera Bugti,Balochistan,Pakistan,"312,603","99,301","213,302","163,836","148,767",0
Dera Ghazi Khan,Punjab,Pakistan,"2,872,201","547,855","2,324,346","1,450,105","1,422,023",73
